     q_A^-1             I 
  2.397362e+00    3.113918e+00
  2.410123e+00    3.031057e+00
  2.422885e+00    3.255748e+00
  2.435647e+00    3.071741e+00
  2.448408e+00    3.038162e+00
  2.461170e+00    3.158811e+00
  2.473931e+00    3.190042e+00
  2.486693e+00    3.165359e+00
  2.499455e+00    3.257064e+00
  2.512216e+00    3.297480e+00
  2.524978e+00    3.552265e+00
  2.537740e+00    3.479779e+00
  2.550501e+00    3.678452e+00
  2.563263e+00    3.924721e+00
  2.576025e+00    4.266207e+00
  2.588786e+00    5.553015e+00
  2.601548e+00    8.003949e+00
  2.614310e+00    1.128404e+01
  2.627071e+00    1.463129e+01
  2.639833e+00    1.501052e+01
  2.652595e+00    1.323773e+01
  2.665356e+00    9.909124e+00
  2.678118e+00    6.788864e+00
  2.690880e+00    4.982718e+00
  2.703641e+00    4.066897e+00
  2.716403e+00    3.413379e+00
  2.729165e+00    3.368677e+00
  2.741926e+00    3.299381e+00
  2.754688e+00    3.180459e+00
  2.767450e+00    3.313458e+00
  2.780211e+00    3.146346e+00
  2.792973e+00    3.153561e+00
  2.805734e+00    3.009001e+00
  2.818496e+00    2.966379e+00
  2.831258e+00    2.954071e+00
  2.844019e+00    2.983593e+00
  2.856781e+00    2.987907e+00
  2.869543e+00    2.962311e+00
  2.882304e+00    2.979847e+00
  2.895066e+00    2.986558e+00
  2.907828e+00    2.845378e+00
  2.920589e+00    3.007923e+00
  2.933351e+00    2.964102e+00
  2.946113e+00    3.203808e+00
  2.958874e+00    3.267360e+00
  2.971636e+00    3.313827e+00
  2.984398e+00    3.524990e+00
  2.997159e+00    4.327337e+00
  3.009921e+00    5.260156e+00
  3.022683e+00    6.488290e+00
  3.035444e+00    7.290406e+00
  3.048206e+00    7.106612e+00
  3.060968e+00    6.476055e+00
  3.073729e+00    5.192272e+00
  3.086491e+00    4.035756e+00
  3.099253e+00    3.350378e+00
  3.112014e+00    2.916839e+00
  3.124776e+00    2.700104e+00
  3.137537e+00    2.700020e+00
  3.150299e+00    2.651435e+00
  3.163061e+00    2.397405e+00
  3.175822e+00    2.456822e+00
  3.188584e+00    2.352409e+00
  3.201346e+00    2.575196e+00
  3.214107e+00    2.405324e+00
  3.226869e+00    2.571313e+00
  3.239631e+00    2.386872e+00
  3.252392e+00    2.390091e+00
  3.265154e+00    2.338449e+00
  3.277916e+00    2.244712e+00
  3.290677e+00    2.321438e+00
  3.303439e+00    2.143274e+00
  3.316201e+00    2.258106e+00
  3.328962e+00    2.216888e+00
  3.341724e+00    2.298423e+00
  3.354486e+00    2.220900e+00
  3.367247e+00    2.153511e+00
  3.380009e+00    2.211265e+00
  3.392771e+00    2.077913e+00
  3.405532e+00    2.130448e+00
  3.418294e+00    2.131189e+00
  3.431056e+00    2.205070e+00
  3.443817e+00    2.071691e+00
  3.456579e+00    2.114877e+00
  3.469340e+00    2.193406e+00
  3.482102e+00    2.249864e+00
  3.494864e+00    2.034415e+00
  3.507625e+00    2.120296e+00
  3.520387e+00    2.071908e+00
  3.533149e+00    2.013312e+00
  3.545910e+00    2.032532e+00
  3.558672e+00    2.147872e+00
  3.571434e+00    2.126818e+00
  3.584195e+00    2.133058e+00
  3.596957e+00    2.112579e+00
  3.609719e+00    1.987209e+00
  3.622480e+00    2.085399e+00
  3.635242e+00    2.069784e+00
