      q_A^-1             I 
  2.397362e+00    1.530951e+01
  2.410123e+00    1.538825e+01
  2.422885e+00    1.538973e+01
  2.435647e+00    1.519510e+01
  2.448408e+00    1.556001e+01
  2.461170e+00    1.516471e+01
  2.473931e+00    1.517399e+01
  2.486693e+00    1.481318e+01
  2.499455e+00    1.457446e+01
  2.512216e+00    1.449390e+01
  2.524978e+00    1.443935e+01
  2.537740e+00    1.439561e+01
  2.550501e+00    1.437548e+01
  2.563263e+00    1.411114e+01
  2.576025e+00    1.410141e+01
  2.588786e+00    1.389154e+01
  2.601548e+00    1.404214e+01
  2.614310e+00    1.421459e+01
  2.627071e+00    1.361441e+01
  2.639833e+00    1.350659e+01
  2.652595e+00    1.382314e+01
  2.665356e+00    1.360586e+01
  2.678118e+00    1.353562e+01
  2.690880e+00    1.332110e+01
  2.703641e+00    1.333892e+01
  2.716403e+00    1.333305e+01
  2.729165e+00    1.369804e+01
  2.741926e+00    1.347476e+01
  2.754688e+00    1.321089e+01
  2.767450e+00    1.310614e+01
  2.780211e+00    1.345336e+01
  2.792973e+00    1.347998e+01
  2.805734e+00    1.300282e+01
  2.818496e+00    1.298928e+01
  2.831258e+00    1.304973e+01
  2.844019e+00    1.264987e+01
  2.856781e+00    1.271463e+01
  2.869543e+00    1.272403e+01
  2.882304e+00    1.298833e+01
  2.895066e+00    1.297103e+01
  2.907828e+00    1.275434e+01
  2.920589e+00    1.286088e+01
  2.933351e+00    1.284617e+01
  2.946113e+00    1.276358e+01
  2.958874e+00    1.311100e+01
  2.971636e+00    1.303149e+01
  2.984398e+00    1.280712e+01
  2.997159e+00    1.307920e+01
  3.009921e+00    1.337553e+01
  3.022683e+00    1.470655e+01
  3.035444e+00    1.775417e+01
  3.048206e+00    2.545820e+01
  3.060968e+00    2.943673e+01
  3.073729e+00    3.012327e+01
  3.086491e+00    2.461085e+01
  3.099253e+00    1.904608e+01
  3.112014e+00    1.454945e+01
  3.124776e+00    1.297014e+01
  3.137537e+00    1.211016e+01
  3.150299e+00    1.212838e+01
  3.163061e+00    1.173456e+01
  3.175822e+00    1.189930e+01
  3.188584e+00    1.162002e+01
  3.201346e+00    1.158660e+01
  3.214107e+00    1.175879e+01
  3.226869e+00    1.156449e+01
  3.239631e+00    1.135441e+01
  3.252392e+00    1.151374e+01
  3.265154e+00    1.137121e+01
  3.277916e+00    1.124431e+01
  3.290677e+00    1.106077e+01
  3.303439e+00    1.122602e+01
  3.316201e+00    1.118456e+01
  3.328962e+00    1.093519e+01
  3.341724e+00    1.088220e+01
  3.354486e+00    1.087155e+01
  3.367247e+00    1.106535e+01
  3.380009e+00    1.163474e+01
  3.392771e+00    1.079146e+01
  3.405532e+00    1.094032e+01
  3.418294e+00    1.085631e+01
  3.431056e+00    1.086907e+01
  3.443817e+00    1.078434e+01
  3.456579e+00    1.081986e+01
  3.469340e+00    1.034157e+01
  3.482102e+00    1.064825e+01
  3.494864e+00    1.047746e+01
  3.507625e+00    1.066419e+01
  3.520387e+00    1.055868e+01
  3.533149e+00    1.045444e+01
  3.545910e+00    1.056116e+01
  3.558672e+00    1.050556e+01
  3.571434e+00    1.036141e+01
  3.584195e+00    9.905425e+00
  3.596957e+00    1.004116e+01
  3.609719e+00    9.949288e+00
  3.622480e+00    1.023563e+01
  3.635242e+00    1.017345e+01
  3.648004e+00    1.013941e+01
  3.660765e+00    9.912291e+00
  3.673527e+00    1.018550e+01
  3.686289e+00    9.969993e+00
  3.699050e+00    9.905801e+00
  3.711812e+00    1.005130e+01
  3.724574e+00    1.001225e+01
  3.737335e+00    9.819605e+00
  3.750097e+00    9.864873e+00
  3.762859e+00    9.716213e+00
  3.775620e+00    9.689592e+00
  3.788382e+00    9.886282e+00
  3.801143e+00    9.743518e+00
  3.813905e+00    9.826212e+00
  3.826667e+00    9.813462e+00
  3.839428e+00    9.722069e+00
  3.852190e+00    9.724385e+00
  3.864952e+00    9.594783e+00
  3.877713e+00    9.747879e+00
  3.890475e+00    9.605025e+00
  3.903237e+00    9.498345e+00
  3.915998e+00    9.451052e+00
  3.928760e+00    9.697629e+00
  3.941522e+00    9.385552e+00
  3.954283e+00    9.266605e+00
  3.967045e+00    9.233549e+00
  3.979807e+00    9.244703e+00
  3.992568e+00    9.298031e+00
  4.005330e+00    9.169524e+00
  4.018092e+00    9.624932e+00
  4.030853e+00    9.328313e+00
  4.043615e+00    9.290699e+00
  4.056377e+00    9.216516e+00
  4.069138e+00    9.049372e+00
  4.081900e+00    9.287868e+00
  4.094662e+00    9.280742e+00
  4.107423e+00    8.880579e+00
  4.120185e+00    9.033175e+00
  4.132946e+00    9.116678e+00
  4.145708e+00    9.208353e+00
  4.158470e+00    9.158018e+00
  4.171231e+00    9.236289e+00
  4.183993e+00    9.158067e+00
  4.196755e+00    9.062316e+00
  4.209516e+00    9.146331e+00
  4.222278e+00    9.123285e+00
  4.235040e+00    9.056194e+00
  4.247801e+00    8.932636e+00
  4.260563e+00    8.851957e+00
  4.273325e+00    8.875051e+00
  4.286086e+00    8.901652e+00
  4.298848e+00    9.366964e+00
  4.311610e+00    1.001299e+01
  4.324371e+00    1.085073e+01
  4.337133e+00    1.088863e+01
  4.349895e+00    1.096181e+01
  4.362656e+00    1.000522e+01
  4.375418e+00    9.433408e+00
  4.388180e+00    8.860845e+00
  4.400941e+00    8.675395e+00
  4.413703e+00    8.579170e+00
  4.426465e+00    8.429887e+00
  4.439226e+00    8.395919e+00
  4.451988e+00    8.554491e+00
  4.464749e+00    8.507182e+00
  4.477511e+00    8.345137e+00
  4.490273e+00    8.434257e+00
  4.503034e+00    8.450876e+00
  4.515796e+00    8.271407e+00
  4.528558e+00    8.257800e+00
  4.541319e+00    8.137031e+00
  4.554081e+00    8.320170e+00
  4.566843e+00    8.325847e+00
  4.579604e+00    8.317157e+00
  4.592366e+00    8.238663e+00
  4.605128e+00    8.192499e+00
  4.617889e+00    7.987368e+00
  4.630651e+00    8.132209e+00
  4.643413e+00    8.124219e+00
  4.656174e+00    7.943493e+00
  4.668936e+00    8.118367e+00
  4.681698e+00    8.050670e+00
  4.694459e+00    8.026482e+00
  4.707221e+00    7.874825e+00
  4.719983e+00    8.000540e+00
  4.732744e+00    7.993893e+00
  4.745506e+00    8.121161e+00
  4.758267e+00    7.990953e+00
  4.771029e+00    8.063712e+00
  4.783791e+00    7.962402e+00
  4.796552e+00    7.659640e+00
  4.809314e+00    7.973112e+00
  4.822076e+00    7.796916e+00
  4.834837e+00    7.918195e+00
  4.847599e+00    7.746191e+00
  4.860361e+00    7.757269e+00
  4.873122e+00    7.698598e+00
  4.885884e+00    8.055376e+00
  4.898646e+00    7.716751e+00
  4.911407e+00    7.531317e+00
  4.924169e+00    7.700954e+00
  4.936931e+00    7.730685e+00
  4.949692e+00    7.683369e+00
  4.962454e+00    7.768039e+00
  4.975216e+00    7.658376e+00
  4.987977e+00    7.428147e+00
  5.000739e+00    7.522043e+00
  5.013501e+00    7.514605e+00
  5.026262e+00    7.752104e+00
  5.039024e+00    7.316439e+00
  5.051786e+00    7.611921e+00
  5.064547e+00    7.772614e+00
  5.077309e+00    7.613850e+00
  5.090070e+00    7.349578e+00
  5.102832e+00    7.618747e+00
  5.115594e+00    7.592627e+00
  5.128355e+00    7.612129e+00
  5.141117e+00    7.296522e+00
  5.153879e+00    7.354877e+00
  5.166640e+00    7.444715e+00
  5.179402e+00    7.613684e+00
  5.192164e+00    7.288198e+00
  5.204925e+00    7.357487e+00
  5.217687e+00    7.322869e+00
  5.230449e+00    7.460804e+00
  5.243210e+00    7.537057e+00
  5.255972e+00    7.346901e+00
  5.268734e+00    7.603583e+00
  5.281495e+00    8.860382e+00
  5.294257e+00    1.022313e+01
  5.307019e+00    1.127704e+01
  5.319780e+00    1.196884e+01
  5.332542e+00    1.047139e+01
  5.345304e+00    8.939098e+00
  5.358065e+00    8.496974e+00
  5.370827e+00    7.403925e+00
  5.383589e+00    7.032291e+00
  5.396350e+00    6.946321e+00
  5.409112e+00    6.951224e+00
  5.421873e+00    6.769282e+00
  5.434635e+00    6.723471e+00
  5.447397e+00    6.825265e+00
  5.460158e+00    6.949697e+00
  5.472920e+00    6.691954e+00
  5.485682e+00    6.733287e+00
  5.498443e+00    6.501500e+00
  5.511205e+00    6.496125e+00
  5.523967e+00    6.856823e+00
  5.536728e+00    6.543351e+00
  5.549490e+00    6.678571e+00
  5.562252e+00    6.687902e+00
  5.575013e+00    6.648371e+00
  5.587775e+00    6.562743e+00
  5.600537e+00    6.595305e+00
  5.613298e+00    6.533847e+00
  5.626060e+00    6.400808e+00
  5.638822e+00    6.308692e+00
  5.651583e+00    6.374484e+00
  5.664345e+00    6.467333e+00
  5.677107e+00    6.515392e+00
  5.689868e+00    6.396659e+00
  5.702630e+00    6.531163e+00
  5.715392e+00    6.755848e+00
  5.728153e+00    6.515499e+00
  5.740915e+00    6.272012e+00
  5.753676e+00    6.320370e+00
  5.766438e+00    6.620907e+00
  5.779200e+00    6.451957e+00
  5.791961e+00    6.285076e+00
  5.804723e+00    6.244357e+00
  5.817485e+00    6.183899e+00
  5.830246e+00    6.172180e+00
  5.843008e+00    6.226456e+00
  5.855770e+00    6.160261e+00
  5.868531e+00    6.314279e+00
  5.881293e+00    5.967562e+00
  5.894055e+00    5.986879e+00
  5.906816e+00    6.269983e+00
  5.919578e+00    6.243300e+00
  5.932340e+00    6.255125e+00
  5.945101e+00    6.148450e+00
  5.957863e+00    6.485704e+00
  5.970625e+00    5.957428e+00
  5.983386e+00    6.001701e+00
  5.996148e+00    6.276036e+00
  6.008910e+00    5.969747e+00
  6.021671e+00    6.070119e+00
  6.034433e+00    5.990087e+00
  6.047195e+00    5.992093e+00
  6.059956e+00    6.185948e+00
  6.072718e+00    6.169766e+00
  6.085479e+00    6.401283e+00
  6.098241e+00    6.335245e+00
  6.111003e+00    6.412550e+00
  6.123764e+00    6.971488e+00
  6.136526e+00    6.950964e+00
  6.149288e+00    6.989536e+00
  6.162049e+00    6.683977e+00
  6.174811e+00    6.724844e+00
  6.187573e+00    6.328397e+00
  6.200334e+00    6.652425e+00
  6.213096e+00    6.064252e+00
  6.225858e+00    5.759977e+00
  6.238619e+00    5.445454e+00
  6.251381e+00    5.680556e+00
  6.264143e+00    6.106767e+00
  6.276904e+00    6.421000e+00
  6.289666e+00    6.291986e+00
  6.302428e+00    5.693072e+00
  6.315189e+00    6.568247e+00
  6.327951e+00    5.428747e+00
  6.340713e+00    6.982209e+00
  6.353474e+00    5.862585e+00
  6.366236e+00    6.113348e+00
  6.378998e+00    5.253155e+00
